ID,Name,CAS #,CAS,SMILES ,InChiKeys,VDss (L/kg),Reference,Comments
49,Atovaquone,95233-18-4,95233-18-4,O=C1C(=O)C(=C(O)c2ccccc12)C1CCC(c2ccc(Cl)cc2)CC1,BSJMWHQBCZFXBR-UHFFFAOYSA-N,0.60,Mepron Product Label,
50,Atracurium,64228-79-1,64228-79-1,c12C([N+](CCc1cc(c(c2)OC)OC)(CCC(=O)OCCCCCOC(=O)CC[N+]1(C(c2c(CC1)cc(c(c2)OC)OC)Cc1cc(c(cc1)OC)OC)C)C)Cc1cc(c(cc1)OC)OC,YXSLJKQTIDHPOT-UHFFFAOYSA-N,0.10,"Cameron M, Donati F, and Varin F (1995) In vitro plasma protein binding of neuromuscular blocking agents in different subpopulations of patients.    Anesth. Analg. 81: 1019-1025.   deBros FM, Lai A, Scott R, deBros J, Batson AG, Goudsouzian N, Ali HH, Cosimi AB, and Savarese JJ (1986) Pharmacokinetics and pharmacodynamics of atracurium during isoflurane anesthesia in normal and anephric patients.    Anesth. Analg. 65: 743-746.  Ward S, Neill EAM, Weatherly BC, and Corall IM (1983) Pharmacokinetics of atricurium besylate in healthy patients after a single i.v. bolus dose.  Br. J. Anaesth. 55: 113-118.","VDss calculated from estimated C vs t data from Cameron, et al, and from reprted microconstants from Ward, et al."
51,Atropine,51-55-8,51-55-8,O([C@@H]1C[C@H]2N([C@@H](C1)CC2)C)C(=O)C(c1ccccc1)CO,RKUNBYITZUJHSG-SPUOUPEWSA-N,3.3,"Adams RG, Verma P, Jackson AJ, and Miller RL (1982) Plasma pharmacokinetics of intravenously administered atropine in normal human subjects.  J. Clin. Pharmacol. 22: 477-481.  Kurz H, Mauser-Ganshorn A, and Stickel HH (1977) Differences in the binding of drugs to plasma proteins from newborn and adult man. I. Eur. J. Clin. Pharmacol. 11: 463-467.",
52,Azacitidine,320-67-2,320-67-2,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,NMUSYJAQQFHJEW-KVTDHHQDSA-N,0.47,"Marcucci G, Silverman L, Eller M, Lintz L, and Beach CL (2005) Bioavailability of azacitidine subcutaneous versus intravenous in patients with the myelodysplastic syndromes.  J. Clin. Pharmacol. 45:  597-602. ",VDss was calculated using C vs t data obtained by digitization of the plot provided in the reference.
53,Azapropazone,13539-59-8,13539-59-8,O=C1n2n(C(=O)C1CCC)c(nc1c2cc(cc1)C)N(C)C,MPHPHYZQRGLTBO-UHFFFAOYSA-N,0.12,"Gikalov I, Kaufmann R, and Schuster O (1982) Humanpharmakokinetik verschiedener i.v. dosen von azapropazon (HPLC-bestimmung).    Arzn. Forsch. 32: 423-426.",VDss was calculated from C vs t data provided in the reference.
54,Azelastine,58581-89-8,58581-89-8,CN1CCCC(CC1)n1nc(Cc2ccc(cc2)Cl)c2c(c1=O)c([2H])c(c(c2[2H])[2H])[2H],MBUVEWMHONZEQD-USSMZTJJSA-N,15,"Weliky I, Howard JR, and Wichmann JK (1990) Absolute bioavailability and pharmacokinetics of azelastine.  Pharm. Res. 7: S-247.  Estelle F, Simons R, and Simons KJ (1999) Clinical pharmacology of new histamine H1 receptor antagonists.  Clin. Pharmacokinet. 36: 329-352.",
55,Azimilide,149908-53-2,149908-53-2,Clc1ccc(c2oc(/C=N/N3C(=O)N(C(=O)C3)CCCCN3CCN(CC3)C)cc2)cc1,MREBEPTUUMTTIA-PCLIKHOPSA-N,13,"Corey AE, Agnew JR, Valentine SN, Nesbitt JD, Wagner DL, Powell JH, and Thompson GA (1999) Azimilide pharmacokinetics following intravenous and oral administration of a solution and capsule formulation.  J. Clin. Pharmacol. 39: 1272-1276.",
56,Azithromycin,83905-01-5,83905-01-5,N1(C[C@@H](C[C@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O[C@@H]([C@]([C@@H]([C@H]1C)O)(O)C)CC)C)O[C@H]1C[C@@]([C@H]([C@@H](O1)C)O)(C)OC)C)O[C@H]1[C@@H]([C@H](C[C@H](O1)C)N(C)C)O)(O)C)C)C,MQTOSJVFKKJCRP-BICOPXKESA-N,33,"Luke DR, Foulds G, Cohen SF, and Levy B (1996) Safety, toleration, and pharmacokinetics of intravenous azithromycin.  Antimic. Ag. Chemother.  40: 2577-2581.  Foulds G, Shepard RM, and Johnson RB (1990) The pharmacokinetics of azithromycin in human serum and tissues.  J. Antimic. Chemother. 25(Suppl. A):  73-82.",Protein binding is concentration dependent; cited value measured at concentrations observed after IV dosing.
57,Azlocillin,37091-66-0,37091-66-0,CC1(C)SC2C(N(NC(=O)N3CCNC3=O)C(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,LNPZUSALIRFFGM-UHFFFAOYSA-N,0.26,"Haen E, Remien J, Richter E, Frank U, and Adam D (1985) Uber die bedeutung der applikationsgeschwindigkeit fur die pharmakokinetischen parameter von azlocillin und mexlocillin.    Arz. Forsch. 35: 864-868.  Bergan T (1984) Pharmacokinetics of beta-lactam antibiotics.  Scand. J. Infect. Dis. 42(Suppl): 83-98.",Pharmacokinetic parameters were calculated from C vs t data provided in the reference.
58,Aztreonam,78110-38-0,78110-38-0,S(=O)(=O)(O)N1[C@@H]([C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)/c2nc(sc2)N)C1=O)C,WZPBZJONDBGPKJ-DZIOLEBDSA-N,0.18,"Burgess DS, Summers KK, and HardinTC (1999) Pharmacokinetics and pharmacodynamics of aztreonam administered by continuous intravenous infusion.  Clin. Ther. 21: 1882-1889.  Swabb EA, Sugerman A, Frantz M, Platt TB, and Stern M (1983) Renal handling of the monobactam azthreonam in healthy subjects.  Clin. Pharmacol. Ther. 33: 609-614.",
59,Bambuterol,81732-65-2,81732-65-2,OC(c1cc(OC(=O)N(C)C)cc(OC(=O)N(C)C)c1)CNC(C)(C)C,ANZXOIAKUNOVQU-UHFFFAOYSA-N,1.6,"Nyberg L, Rosenborg J, Weibull E, Jonsson S, Kennedy BM, and Nilsson M (1998) Pharmacokinetics of bambuterol in healthy subjects.   Br. J. Clin. Pharmacol. 45: 471-478.",
60,BB 83698,325795-25-3,325795-25-3,O=C(N[C@@H](C(C)(C)C)C(=O)C)[C@H](CCCC)CN(O)C=O,VUMMRHDUGBAWSA-CHWSQXEVSA-N,1.1,"Ramanathan-Girish S, McColm J, Clements JM, Taupin P, Barrowcliffe S, Hevizi J, Safrin S, Moore C, Patou G, Moser H, Gadd A, Hoch U, Jiang V, Lofland D, and Johnson KW (2004) Pharmacokinetics in animals and humans of a first-in-class peptide deformylase inhibitor.    Antimic. Ag. Chemother. 48: 4835-4842.",
61,Beclomethasone dipropionate,5534-09-8,5534-09-8,[C@@H]12C[C@H](C)[C@](OC(=O)CC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@]1(Cl)[C@H]2CCC2=CC(=O)C=C[C@]12C,KUVIULQEHSCUHY-AFPZPSHSSA-N,0.29,"Daley-Yates PT, Price AC, Sisson JR, Pereira A, and Dallow N (2001)  Beclomethasone dipropionate: absolute bioavailability, pharmacokinetics and metabolism following intravenous, oral, intranasal and inhaled administration in man.    Br. J.. Clin. Pharmacol.  51: 400-409.  Beconase AQ Product Label",
62,Benperidol,2062-84-2,2062-84-2,Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)n1c(=O)[nH]c2c1cccc2,FEBOTPHFXYHVPL-UHFFFAOYSA-N,3.8,"Seiler W, Wetzel H, Hillert A, Schoellnhammer G, Langer M, Barlage U, and Hiemke C (1994) Pharmacokinetics and bioavailability of benperidol in schizophrenic patients after intravenous and two different kinds of oral application.  Psychopharmacology 116: 457-463.",
63,Betamethasone,378-44-9,378-44-9,C1=C[C@]2(C(=CC1=O)CC[C@@H]1[C@]2([C@@H](C[C@]2([C@H]1C[C@@H]([C@]2(C(=O)CO)O)C)C)O)F)C,UREBDLICKHMUKA-AMDXKQBSSA-N,1.3,"Petersen MC, Nation RL, McBride WG, Ashley JJ, and Moore RG (1983) Pharmacokinetics of betamethasone in healthy adults after intravenous administration.  Eur. J. Clin. Pharmacol. 25: 643-650. ",VDss was calculated using C vs t data obtained by digitization of the plot provided in the reference.
64,Betamipron,3440-28-6,3440-28-6,OC(=O)CCNC(=O)c1ccccc1,CWXYHOHYCJXYFQ-UHFFFAOYSA-N,0.28,"Saito A (1991) Pharmacokinetics of panipenem/betamipron.  Chemotherapy (Tokyo)  39(Suppl. 3): 227-235.  Kurihara A, Naganuma H, Hisaoka M, Tokiwa H, and Kawahara Y (1992) Prediction of human pharmacokinetics of panipenem-betamipron, a new carbapenem, from animal data.    Antimic. Ag. Chemother. 36: 1810-1816.",VDss calculated from C vs t data provided in the reference.
65,Betaxolol,63659-18-7,63659-18-7,COC(=O)C[C@@H](CC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1)O[Si](C)(C)C(C)(C)C,LKFANOWXMJEZDI-AREMUKBSSA-N,4.8,"Ludden TM, Boyle DA, Gieseker D, Kennedy GT, Crawford MH, Ludden LK, and Clementi WA (1988) Absolute bioavailability and dose proportionality of betaxolol in normal healthy subjects.  J. Pharm. Sci. 77: 779-783.  Henry JA and Mitchell SN (1981) Effect of pH on human plasma protein binding of a series of .beta.-adrenoceptor antagonists.    Br. J. Clin. Pharmacol. 11: 119P-120P. ",
66,Bevantolol,59170-23-9,59170-23-9,COc1cc(CCNCC(COc2cccc(c2)C)O)ccc1OC,HXLAFSUPPDYFEO-UHFFFAOYSA-N,0.67,"McNeil JJ, Drummer OH, Anderson AIE, and Louis WJ (1986) Pharmacokinetics and concentration-effect relationships of bevantolol (CI-775) in normal volunteers.  J. Cardiovasc. Pharmacol. 8: 1201-1207.  Ichikawa M, Haruki S, Esumi Y, Takaichi M, Seki H, and Shiina M (1992) Metabolic fate of bevantolol hydrochloride.  Absorption, distribution and excretion in rats and dogs after single oral administration.  Yakuri to Chiryo 20: 1695-1708. ",VDss calculated from reported microconstants.
67,Biapenem,120410-24-4,120410-24-4,N12C(=C([C@@H]([C@@H]2[C@H](C1=O)C(O)C)C)SC1C[n+]2n(C1)cnc2)C(=O)[O-],MRMBZHPJVKCOMA-WAOAVRLKSA-N,0.20,"Shiba K, Maezawa H, Yoshida M, Sakai O, and Saito A (1994) Basic and clinical studies of biapenem.  Chemotherapy 42(Suppl. 4): 322-329.  Yamashita N, Kawashima K, Nomura K, Takeuchi H, Hikida M, and Naruke T (1994) Pharmacokinetics of biapenem in laboratory animals.    Chemotherapy 42(Suppl. 4): 243-250.",
68,Bilobalide,33570-04-6,33570-04-6,[C@H]12OC(=O)[C@@H](O)[C@@]31[C@](O)(C[C@H]1OC(=O)C[C@@]31C(=O)O2)C(C)(C)C,MOLPUWBMSBJXER-ZDXFXCARSA-N,2.5,"Fourtillian JB, Brisson AM, Girault J, Ingrand I, Decourt JP, Drieu K, Jouenne P, and Biber A (1995) Proprietes pharmaccinetiques du bilobalide et des ginkgolides A et B chez le sujet sain apres administrations intraveineuses et orales d'extrait de Ginkgo biolba (EGb 761).  Therapie  50: 137-144.",
69,Biperiden,514-65-8,514-65-8,O[C@@](CCN1CCCCC1)(C1CC2CC1C=C2)c1ccccc1,YSXKPIUOCJLQIE-AONDRMHESA-N,12,"Grimaldi R, Perucca E, Ruberto G, Gelmi C, Trimarchi F, Hollmann M, and Crema A (1986) Pharmacokinetic and pharmacodynamic studies following the intravenous and oral administration of the antiparkinsonian drug biperiden to normal subjects.  Eur. J. Clin. Pharmacol.  29: 735-737.  Nakashima E, Yokogawa K, Ichimura F, Kurata K, Kido H, Yamaguchi N, and Yamana T (1987) A physiologically based pharmacokinetic model for biperiden in animals and its extrapolation to humans.  Chem. Pharm. Bull. 35: 718-725.",
70,Bisaramil,89194-77-4,89194-77-4,Clc1ccc(C(=O)OC2[C@H]3CN(C[C@@H]2CN(C3)C)CC)cc1,PMCPYLGCPSNSLS-MZBDJJRSSA-N,9.0,"Gemesi L, Kapas M, Matos L (1993)  Pharmacokinetic study of bisaramil in man.  Acta Pharm. Hungarica  63: 327-333. ",VDss calculated from reported C vs t data table.
71,Bisoprolol,66722-44-9,66722-44-9,OC(=O)/C=C/C(=O)O.CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,RZPZLFIUFMNCLY-WLHGVMLRSA-N,2.4,"Horikiri Y, Suzuki T, and Mizobe M (1998) Pharmacokinetics and Metabolism of Bisoprolol Enantiomers in Humans.  J. Pharm. Sci. 87: 289-294.  Leopold G, Pabst J, Ungethuem W, and Buehring KU (1986) Basic pharmacokinetics of bisoprolol, a new highly beta1-selective adrenoceptor antagonist.  J. Clin. Pharmacol. 26: 616-621.  ",VDss calculated from C vs t data obtained by digitization of the plot provided by Leopold et al.
72,BMS-214662,195987-41-8,195987-41-8,c1(ccc2c(c1)CN(S(=O)(=O)c1cccs1)C(CN2Cc1cnc[nH]1)Cc1ccccc1)C#N,OLCWFLWEHWLBTO-UHFFFAOYSA-N,0.84,"Ryan DP, Eder JP, Puchlaski T, Seiden MV, Lynch TJ, Fuchs CS, Amrein PC, Sonnichsen D, Supko JG, and Clark JW (2004) Phase I clinical trial of the farnesyltransferase inhibitor BMS-214662 given as a 1 hour intravenous infusion in patients with advanced solid tumors.  Clin. Canc. Res.  10: 2222-2230.",
73,Bortezomib,179324-69-7,179324-69-7,O=C(N[C@@H](CC(C)C)B(O)O)[C@@H](NC(=O)c1nccnc1)Cc1ccccc1,GXJABQQUPOEUTA-RDJZCZTQSA-N,10,"Papandreou CN, Daliani D, Nix D, Yang H, Madden T, Wang X, Pien CS, Millikan RE, Tu SM, Pagliaro L, Kim J, Adams J, Elliott P, Esseltine D, Petrusich A, Dieringer P, Perez C, and Logothetis CJ (2004) Phase I trial of the proteasome inhibitor bortezomib in patients with advanced solid tumors with observations in androgen-independent prostate cancer.  J. Clin. Oncol. 22: 2108-2121.  Velcade Product Label.",
74,Bosentan,147536-97-8,147536-97-8,S(=O)(=O)(Nc1nc(nc(OCCO)c1Oc1c(OC)cccc1)c1ncccn1)c1ccc(cc1)C(C)(C)C,GJPICJJJRGTNOD-UHFFFAOYSA-N,0.29,"Weber C, Schmitt R, Birnboeck H, Hopfgartner G, Eggers H, Meyer J, Van Marle S, Viischer HW, and Jonkman JHG (1999)  Multiple-dose pharmacokinetics, safety, and tolerability of bosentan, an endothelin receptor antagonist, in healthy male volunteers.  J. Clin. Pharmacol. 39:  703-714.  Weber C, Schmitt R, Birnboeck H, Hopfgartner G, Van Marle SP, Peeters PAM, Jonkman JHG, and Jones CR (1996) Pharmacokinetics pharmacodynamics of the endothelin-receptor antagonist bosentan in healthy human subjects.  Clin. Pharmacol. Ther. 60: 124-137.",
75,Bromazepam,1812-30-2,1812-30-2,Brc1cc2C(=NCC(=O)Nc2cc1)c1ncccc1,VMIYHDSEFNYJSL-UHFFFAOYSA-N,0.85,"Raaflaub VJ and Speiser-Courvoisier J (1974) Zur pharmakokinetik von bromazepam beim menschen.  Arz. Forsch. 24: 1841-1844.  Lucek RW and Coutinho CB (1976) The role of substituents in the hydrophobic binding of the 1,4-benzodiazepines by human plasma proteins.    Molec. Pharmacol. 12: 612-619.",Parameters calculated from C vs t data provided in the reference.
76,Bromfenac,91714-94-2,91714-94-2,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,ZBPLOVFIXSTCRZ-UHFFFAOYSA-N,0.11,"Gumbhir-Shah K, Cevallos WH, DeCleene SA, Halstenson CE, and Korth-Bradley JM (1997) Absolute bioavailability of bromfenac in humans.  Ann. Pharmacother. 31: 395-399.",
77,Bromopride,4093-35-0,4093-35-0,Brc1cc(c(OC)cc1N)C(=O)NCCN(CC)CC,GIYAQDDTCWHPPL-UHFFFAOYSA-N,3.1,"Brodie RR, Chasseaud LF, Darragh A, Lambe RF, Rooney L, and Taylor T (1986) Pharmacokinetics and bioavailability of the anti-emetic agent bromopride.  Biopharm. Drug Dispos.  7: 215-222.",VDss was calculated using C vs t data provided in the reference.
78,Brotizolam,57801-81-7,57801-81-7,Brc1sc2n3c(nnc3C)CN=C(c2c1)c1c(Cl)cccc1,UMSGKTJDUHERQW-UHFFFAOYSA-N,0.75,"Jochemsen R, Wesselman JGJ, Hermans J, Van Boxtel CJ, and Breimer DD (1983) Pharmacokinetics of brotizolam in healthy subjects following intravenous and oral administration.  Br. J. Clin. Pharmacol. 16(Suppl. 2): 285-290.  Jochemsen R, Joeres RP, Wesselman JG, Richter E, and Breimer DD (1983) Pharmacokinetics of oral brotizolam in patients with liver cirrhosis.  Br. J. Clin. Pharmacol.  16(Suppl 2): 315S-322S.",VDss was calculated using data obtained by digitization of the C vs t plot provided in the reference.
79,Budesonide,51333-22-3,51333-22-3,C1=C[C@]2(C(=CC1=O)CC[C@@H]1[C@@H]2[C@H](C[C@]2([C@H]1CC1(C2C(=O)CO)OC(O1)CCC)C)O)C,NTNHWEIEPRBHMJ-WYXCECBBSA-N,3.9,"Ryrfeldt A, Andersson P, Edsbacker S, Tonnesson M, Davies D, and Pauwels R (1982) Pharmacokinetics and metabolism of budesonide, a selective glucocorticoid.  Eur. J. Resp. Dis. 63: 86-95.  Entocort EC Product Label.",VDss was calculated using data obtained by digitization of the C vs t plot provided in the reference.
80,Buflomedil,55837-25-7,55837-25-7,O(c1c(c(OC)cc(OC)c1)C(=O)CCCN1CCCC1)C,OWYLAEYXIQKAOL-UHFFFAOYSA-N,1.3,"Gundert-Remy U, Weber E, Lam G, Chiou WL, Mann W, and Aynilian GH (1981) The clinical pharmacokinetics of buflomedil in normal subjects after intravenous and oral administration.  Eur. J.Clin. Pharmacol. 20: 459-63.  Rey E, D'Athis P, Richard MO, Fillastre JP, and Olive G (1984) Pharmacokinetics of buflomedil after intravenous administration in patients with chronic renal failure.  Int. J. Clin. Pharmacol. Ther. Toxicol. 12: 648-652.",
81,Bufuralol,54340-62-4,54340-62-4,o1c2c(cc1C(O)CNC(C)(C)C)cccc2CC,SSEBTPPFLLCUMN-UHFFFAOYSA-N,1.7,"Dayer P, Balant L, Kupfer A, Striberni R, and Leemann T (1985) Effect of oxidative polymorphism (debrisoquine/sparteine type) on hepatic first-pass metabolism of bufuralol.  Eur. J. Clin. Pharmacol. 28: 317-320.  Foti RS and Fisher MB (2004) Impact of incubation conditions on bufuralol human clearance predictions: Enzyme lability and nonspecific binding.  Drug Metab. Dispos. 32: 295-304.",CYP2D6 extensive metabolizers only.  VDss calculated from C vs t data obtained by digitization of the plots included in the reference.
82,Bumetanide,28395-03-1,28395-03-1,O=C(O)c1cc(NCCCC)c(Oc2ccccc2)c(S(=O)(=O)N)c1,MAEIEVLCKWDQJH-UHFFFAOYSA-N,0.16,"Pentikainen PJ, Pasternack A, Lampainen E, Neuvonen PJ, and Penttila A (1985) Bumetanide kinetics in renal failure.  Clin. Pharmacol. Ther. 37:  582-528.  Lau HSH, Hyneck ML, Berardi RR, Swartz RD, and Smith DE (1986) Kinetics, dynamics, and bioavailability of bumetanide in healthy subjects and patients with chronic renal failure.  Clin. Pharmacol. Ther. 39: 635-645.  Cook JA, Smith DE, Cornish LA, Tankanow RM, Nicklas JM, and Hyneck ML (1988) Kinetics, dynamics, and bioavailability of bumetanide in healthy subjects and patients with congestive heart failure.  Clin. Pharmacol. Ther. 44: 487-500.",Data combined from three references.
83,Bunazosin,80755-51-7,80755-51-7,O(c1c(OC)cc2nc(nc(N)c2c1)N1CCN(CCC1)C(=O)CCC)C,RHLJLALHBZGAFM-UHFFFAOYSA-N,0.72,"Morishita N, Tomono Y, Hasegawa J, and Heuer HJ (1993)  Single dose crossover study to evaluate the absolute bioavailability of a sustained-release formulation of bunazosin (E1015) in healthy male volunteers.  Drug Invest.  6:  5-9.  Yamato C, Takahashi T, Tadano K, Kinoshita K, and Fujita T (1985)  The metabolic fate of bunazosin hydrochloride (2). Studies on the transfer to fetus and milk, plasma protein binding, tissue accumulation and effect on drug-metabolizing enzymes. Oyo Yakuri  30: 257-265.",
84,Bupivacaine,38396-39-3,38396-39-3,O=C(Nc1c(cccc1C)C)C1N(CCCC1)CCCC,LEBVLXFERQHONN-UHFFFAOYSA-N,0.84,"Burm AGL, Van der Meer AD, Van Kleef JW, Zeijlmans PWM, and Groen K (1994) Pharmacokinetics of the enantiomers of bupivacaine following intravenous administration of the racemate.  Br. J. Clin. Pharmacol. 38: 125-129.",Values for enantiomers were averaged.
85,Buprenorphine,52485-79-7,52485-79-7,O1[C@@H]2[C@@]34[C@]5(C[C@@H]([C@]2(OC)CC5)[C@](O)(C(C)(C)C)C)[C@H](N(CC4)CC2CC2)Cc2c3c1c(O)cc2,RMRJXGBAOAMLHD-IHFGGWKQSA-N,4.9,"Kuhlman JJ, Lalani S, Magluilo, J, Levine B, Darwin WD, Johnson RE, and Cone EJ (1996) Human pharmacokinetics of intravenous, sublingual and buccal buprenorphine.  J. Anal. Toxicol. 20: 369-378.   Elkader A and Sproule B (2005)  Buprenorphine: clinical pharmacokinetics in the treatment of opioid dependence.  Clin. pharmacokinet. 44: 661-680.",
86,Busulphan,55-98-1,55-98-1,S(=O)(=O)(OCCCCOS(=O)(=O)C)C,COVZYZSDYWQREU-UHFFFAOYSA-N,0.55,"Hassan M, Nilsson C, Hassan Z, Gungor T, Aschan J, Winiarski J, Hentschke P, Ringden O, Eber S, Seger R, and Ljungman P (2002) A phase II trial of liposomal busulphan as an intravenous myeloablative agent prior to stem cell transplantation: 500 mg/m(2) as a optimal total dose for conditioning.  Bone Marrow Transplantation  30: 833-841.  Ehrsson H and Hassan M (1984) Binding of busulfan to plasma proteins and blood cells.  J. Pharm. Pharmacol.   36: 694-696.",
87,Butorphanol,42408-82-2,42408-82-2,O[C@@]12[C@@]3(c4c(C[C@H]1N(CC3)CC1CCC1)ccc(O)c4)CCCC2,IFKLAQQSCNILHL-QHAWAJNXSA-N,12,"Vachharajani NN, Shyu WC, Garnett WR, Morgenthien EA and Barbhaiya RH (1996) The absolute bioavailability and pharmacokinetics of butorphanol nasal spray in patients with hepatic impairment.  Clin. Pharmacol. Ther. 60: 283-294.   Gaver RC, Vasiljev M, Wong H, Monkovic I, Swigor JE, Van Harken DR, and Smyth RD (1980) Disposition of parenteral butorphanol in man.  Drug Metab. Dispos. 8: 230-235.",
88,Caffeine,58-08-2,58-08-2,Cn1cnc2n(C)c(=O)n(C)c(=O)c12,RYYVLZVUVIJVGH-UHFFFAOYSA-N,0.63,Blanchard J and Sawers SJA (1983) Comparative pharmacokinetics of caffeine in young and elderly men.  J. Pharmacokinet. Biopharm. 11: 109-126.,VDss was calculated from C vs t data obtained by digitization of the plot included in the reference.  
89,Captopril,62571-86-2,62571-86-2,C(=O)([C@H]1CCCN1C(=O)C(CS)C)O,FAKRSMQSSFJEIM-COBSHVIPSA-N,0.75,"Duchin KL, Singhvi SM, Willard DA, Migdalof BH, McKinstry DM (1982)  Captopril kinetics. Clin. Pharmacol. Ther. 31: 452-458.  Creasy WA, Morrison RA, Singhvi SM, and Willard DA (1988) Pharmacokinetics of intravenous captopril in healthy men.  Eur. J. Clin. Pharmacol. 35: 367-370.",Combined data from Creasy and Duchin papers.  Note that protein binding also has S-S bond component.
90,Carbenicillin,4697-36-3,4697-36-3,S1[C@H]2N([C@H](C1(C)C)C(=O)O)C(=O)[C@H]2NC(=O)C(c1ccccc1)C(=O)O,FPPNZSSZRUTDAP-UWFZAAFLSA-N,0.17,"Libke RD, Clarke JT, Ralph ED, Luthy RP, and Kirby WMM (1975) Ticarcillin vs carbenicillin: clinical pharmacokinetics.  Clin. Pharmacol. Ther.  17: 441-446.  Bergan T (1984) Pharmacokinetics of beta-lactam antibiotics.  Scand. J. Infect. Dis. 42(Suppl): 83-98.",
91,Carboplatin,41575-94-4,41575-94-4,[Pt]1(OC(=O)C2(C(=O)O1)CCC2)(N)N,VRENENKIMJXJOK-UHFFFAOYSA-L,0.26,"Elferink F, van der Vijgh WJ, Klein I, Vermorken JB, Gall HE, and Pinedo HM (1987) Pharmacokinetics of carboplatin after i.v. administration.    Cancer Treatment Rep.  71: 1231-1237.  Gaver RC, George AM, and Deeb G (1987) In vitro stability, plasma protein binding and blood cell partitioning of 14C-carboplatin.  Cancer Chemother. Pharmacol. 20: 271-276.",Used 1.6 m2 = 60 kg since the study was done in all females.
92,Carmustine (BCNU),154-93-8,154-93-8,ClCCNC(=O)N(CCCl)N=O,DLGOEMSEDOSKAD-UHFFFAOYSA-N,1.2,"Henner WD, Peters WP, Eder JP, Antman K, Schnipper L, and Frei E (1986) Pharmacokinetics and immediate effects of high-dose carmustine in man.  Canc. Treatm. Rep. 70: 877-880. ",Used VD as VDss because PK was first order.
